%time,field.header.seq,field.header.stamp,field.header.frame_id,field.height,field.width,field.distortion_model,field.D0,field.D1,field.D2,field.D3,field.D4,field.K0,field.K1,field.K2,field.K3,field.K4,field.K5,field.K6,field.K7,field.K8,field.R0,field.R1,field.R2,field.R3,field.R4,field.R5,field.R6,field.R7,field.R8,field.P0,field.P1,field.P2,field.P3,field.P4,field.P5,field.P6,field.P7,field.P8,field.P9,field.P10,field.P11,field.binning_x,field.binning_y,field.roi.x_offset,field.roi.y_offset,field.roi.height,field.roi.width,field.roi.do_rectify
1696559330891895209,290,0,,0,0,,-0.3014509975910187,0.20257699489593506,0.0012929999502375722,0.0012049999786540866,0.478083997964859,2102.357666015625,0.0,1048.859375,0.0,2093.36474609375,554.166748046875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1696559333892797192,291,0,,0,0,,-0.3014509975910187,0.20257699489593506,0.0012929999502375722,0.0012049999786540866,0.478083997964859,2102.357666015625,0.0,1048.859375,0.0,2093.36474609375,554.166748046875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1696559336891403765,292,0,,0,0,,-0.3014509975910187,0.20257699489593506,0.0012929999502375722,0.0012049999786540866,0.478083997964859,2102.357666015625,0.0,1048.859375,0.0,2093.36474609375,554.166748046875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1696559339893452458,293,0,,0,0,,-0.3014509975910187,0.20257699489593506,0.0012929999502375722,0.0012049999786540866,0.478083997964859,2102.357666015625,0.0,1048.859375,0.0,2093.36474609375,554.166748046875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1696559342889939998,294,0,,0,0,,-0.3014509975910187,0.20257699489593506,0.0012929999502375722,0.0012049999786540866,0.478083997964859,2102.357666015625,0.0,1048.859375,0.0,2093.36474609375,554.166748046875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1696559345894654322,295,0,,0,0,,-0.3014509975910187,0.20257699489593506,0.0012929999502375722,0.0012049999786540866,0.478083997964859,2102.357666015625,0.0,1048.859375,0.0,2093.36474609375,554.166748046875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1696559348897107722,296,0,,0,0,,-0.3014509975910187,0.20257699489593506,0.0012929999502375722,0.0012049999786540866,0.478083997964859,2102.357666015625,0.0,1048.859375,0.0,2093.36474609375,554.166748046875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1696559351892307470,297,0,,0,0,,-0.3014509975910187,0.20257699489593506,0.0012929999502375722,0.0012049999786540866,0.478083997964859,2102.357666015625,0.0,1048.859375,0.0,2093.36474609375,554.166748046875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1696559354894610755,298,0,,0,0,,-0.3014509975910187,0.20257699489593506,0.0012929999502375722,0.0012049999786540866,0.478083997964859,2102.357666015625,0.0,1048.859375,0.0,2093.36474609375,554.166748046875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1696559357888264971,299,0,,0,0,,-0.3014509975910187,0.20257699489593506,0.0012929999502375722,0.0012049999786540866,0.478083997964859,2102.357666015625,0.0,1048.859375,0.0,2093.36474609375,554.166748046875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1696559360894934552,300,0,,0,0,,-0.3014509975910187,0.20257699489593506,0.0012929999502375722,0.0012049999786540866,0.478083997964859,2102.357666015625,0.0,1048.859375,0.0,2093.36474609375,554.166748046875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1696559363889912982,301,0,,0,0,,-0.3014509975910187,0.20257699489593506,0.0012929999502375722,0.0012049999786540866,0.478083997964859,2102.357666015625,0.0,1048.859375,0.0,2093.36474609375,554.166748046875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
